timestamp;pitch;roll;yaw
0.045;  2.0; -1.6;142.8
0.097;  2.0; -1.6;142.8
0.149;  2.0; -1.6;142.8
0.197;  2.0; -1.6;142.9
0.249;  1.9; -1.5;142.9
0.301;  1.5; -1.2;142.9
0.353;  1.4; -1.2;142.9
0.405;  1.4; -1.2;142.9
0.450;  1.4; -1.1;142.9
0.498;  1.4; -1.2;142.8
0.550;  1.4; -1.2;142.8
0.602;  1.5; -1.2;142.8
0.654;  1.7; -1.3;142.7
0.699;  1.8; -1.4;142.7
0.751;  1.8; -1.4;142.7
0.799;  1.9; -1.4;142.7
0.851;  1.9; -1.4;142.7
0.902;  1.9; -1.5;142.7
0.954;  1.9; -1.5;142.6
1.006;  1.9; -1.5;142.6
1.051;  1.9; -1.5;142.6
1.100;  1.9; -1.5;142.7
1.152;  1.9; -1.5;142.7
1.204;  1.9; -1.5;142.7
1.249;  2.0; -1.5;142.7
1.298;  2.0; -1.5;142.8
1.350;  2.0; -1.5;142.8
1.395;  2.0; -1.5;142.8
1.444;  2.0; -1.5;143.0
1.496;  2.0; -1.6;143.0
1.541;  2.0; -1.6;143.2
1.590;  1.9; -1.6;143.3
1.642;  6.0;-10.5;144.9
1.688; 14.5;-15.2;148.7
1.736; 20.5;  2.7;149.9
1.788; 18.1; -8.1;150.2
1.834; 15.4;  0.5;150.9
1.882; 18.4;  8.3;148.5
1.928; 13.3;  5.5;147.1
1.977; 12.5;  5.1;146.8
2.029; 10.8;  2.8;146.2
2.074; 10.4;  3.2;144.8
2.123; 11.3;  3.3;144.5
2.168; 10.4;  3.4;144.4
2.217; 12.3;  3.9;143.8
2.269; 11.8;  3.3;143.0
2.314; 10.9;  3.7;142.9
2.363;  8.7;  4.8;142.3
2.415;  6.8;  6.1;142.0
2.461;  5.3;  7.5;141.7
2.510;  5.0;  7.3;142.1
2.562;  4.9;  6.9;142.0
2.607;  4.6;  6.7;141.7
2.655;  4.6;  6.2;142.3
2.707;  4.2;  6.1;142.5
2.759;  4.1;  5.9;142.2
2.811;  4.1;  5.5;141.8
2.856;  4.0;  5.3;141.3
2.907;  3.9;  5.0;141.0
2.956;  3.8;  4.7;140.6
3.008;  3.7;  4.5;140.3
3.059;  3.6;  4.2;140.0
3.111;  3.5;  4.0;139.7
3.163;  3.5;  3.8;139.4
3.208;  3.4;  3.6;139.2
3.260;  3.3;  3.4;139.0
3.308;  3.2;  3.2;138.9
3.360;  3.2;  3.0;138.8
3.412;  3.1;  2.8;138.6
3.463;  3.1;  2.6;138.5
3.515;  3.0;  2.5;138.4
3.560;  2.9;  2.3;138.4
3.612;  2.9;  2.2;138.4
3.660;  2.8;  2.0;138.4
3.712;  2.7;  1.9;138.3
3.764;  2.5;  1.8;138.3
3.816;  2.4;  1.7;138.3
3.868;  2.4;  1.5;138.3
3.912;  2.4;  1.4;138.3
3.964;  2.4;  1.3;138.2
4.013;  2.3;  1.2;138.2
4.064;  2.3;  1.1;138.2
4.116;  2.3;  1.0;138.2
4.168;  2.3;  0.9;138.3
4.220;  2.2;  0.8;138.4
4.265;  2.2;  0.7;138.4
4.316;  2.2;  0.6;138.5
4.365;  2.1;  0.5;138.6
4.417;  2.1;  0.5;138.6
4.469;  2.1;  0.4;138.7
4.520;  2.0;  0.3;138.8
4.572;  2.0;  0.3;138.9
4.617;  2.0;  0.2;138.9
4.669;  2.0;  0.1;139.0
4.717;  2.0;  0.1;139.0
4.769;  1.9;  0.0;139.0
4.821;  1.9; -0.1;139.0
4.873;  1.9; -0.1;139.1
4.925;  1.9; -0.2;139.3
4.969;  1.8; -0.2;139.3
