timestamp;pitch;roll;yaw
0.038;  1.7; -2.6;147.4
0.087;  1.7; -2.6;147.4
0.139;  1.6; -2.6;147.5
0.183;  1.7; -2.5;147.6
0.235;  1.6; -2.5;147.8
0.284;  1.7; -2.5;148.2
0.335;  1.7; -2.5;148.6
0.387;  1.1; -2.2;148.6
0.439;  1.0; -2.1;148.5
0.484;  1.0; -2.2;148.5
0.536;  1.0; -2.2;148.4
0.584;  1.0; -2.2;148.4
0.636;  0.5; -1.8;148.4
0.688;  1.0; -2.2;149.8
0.740;  1.7; -1.3;155.4
0.792;  3.0;  4.2;154.1
0.836;  9.5;  9.3;147.6
0.888;  7.3; 18.1;150.1
0.937; -0.8; 27.8;149.2
0.988;-13.3; 38.4;155.3
1.040;-21.3; 49.0;153.4
1.092;-28.8; 47.2;148.8
1.144;-29.4; 39.5;142.3
1.189;-18.9; 27.3;137.4
1.237;-11.1; 18.2;138.4
1.289; -0.2; 10.1;138.6
1.341; 11.2; -4.1;138.5
1.393; 14.2; -1.4;141.3
1.445; 14.3; -0.4;143.4
1.489; 15.0; -1.8;145.3
1.541; 14.3; -1.7;147.6
1.590; 12.0; -0.7;149.3
1.642;  8.5; -0.5;149.6
1.693;  3.8;  1.0;150.0
1.745;  4.4;  0.8;149.8
1.790;  3.3;  1.0;149.5
1.839;  3.1;  0.9;149.6
1.891;  2.8;  0.8;149.6
1.943;  2.7;  0.7;149.6
1.989;  2.6;  0.6;149.6
2.037;  2.5;  0.6;149.6
2.083;  2.4;  0.5;149.6
2.131;  2.3;  0.4;149.6
2.184;  2.2;  0.3;149.6
2.229;  2.1;  0.2;149.7
2.278;  2.1;  0.2;149.7
2.330;  2.0;  0.0;149.8
2.375;  2.1; -0.0;149.8
2.424;  1.9; -0.0;149.9
2.476;  1.9; -0.2;150.0
2.521;  1.8; -0.2;150.0
2.570;  1.7; -0.3;150.0
2.616;  1.6; -0.3;150.1
2.664;  1.5; -0.4;150.1
2.717;  1.5; -0.4;150.2
2.762;  1.4; -0.4;150.2
2.811;  1.3; -0.5;150.3
2.863;  1.3; -0.5;150.5
2.908;  1.2; -0.6;150.5
2.957;  1.2; -0.6;150.6
3.009;  1.1; -0.7;150.7
3.054;  1.1; -0.7;150.7
3.103;  1.1; -0.7;150.8
3.148;  1.0; -0.8;150.8
3.197;  1.0; -0.8;150.9
3.249;  1.0; -0.8;150.9
3.294;  0.9; -0.9;151.0
3.343;  0.9; -0.9;151.0
3.395;  0.9; -0.9;151.1
3.441;  0.8; -0.9;151.1
3.489;  0.8; -1.0;151.2
3.535;  0.8; -1.0;151.2
3.584;  0.8; -1.0;151.3
3.636;  0.7; -1.1;151.3
3.681;  0.7; -1.1;151.3
3.730;  0.7; -1.1;151.4
3.782;  0.7; -1.1;151.4
3.827;  0.7; -1.1;151.5
3.876;  0.6; -1.2;151.5
3.921;  0.6; -1.2;151.5
3.970;  0.6; -1.2;151.5
4.022;  0.6; -1.2;151.6
4.068;  0.6; -1.2;151.7
4.116;  0.5; -1.2;151.8
4.169;  0.5; -1.2;151.8
4.214;  0.5; -1.3;151.8
4.263;  0.4; -1.3;151.9
4.308;  0.4; -1.3;151.9
4.357;  0.4; -1.3;151.9
4.409;  0.4; -1.3;152.0
4.454;  0.4; -1.3;152.0
4.503;  0.4; -1.3;152.1
4.555;  0.4; -1.3;152.1
4.600;  0.4; -1.4;152.2
4.649;  0.4; -1.4;152.3
4.701;  0.3; -1.4;152.3
4.746;  0.3; -1.4;152.4
4.795;  0.6; -1.6;152.4
4.847;  0.9; -1.8;152.3
4.893;  0.7; -1.7;152.3
