timestamp;pitch;roll;yaw
0.042;  1.0; -2.5;165.2
0.095;  1.0; -2.4;165.3
0.140;  0.5; -2.2;165.8
0.189;  0.8; -2.3;165.6
0.241; -1.0; -1.3;165.6
0.286; -0.6; -1.5;165.5
0.335; -0.4; -1.6;165.4
0.380; -0.3; -1.6;165.4
0.429;  0.5; -2.1;166.5
0.481; -1.1; -1.3;167.0
0.526; -2.8; -0.2;167.6
0.575; -2.3;  0.3;166.7
0.627; -1.8;  1.9;165.6
0.673; -1.3;  3.3;164.1
0.721; -1.5;  2.8;163.4
0.773; -1.0;  2.3;163.3
0.819;  0.3;  2.7;163.1
0.867;  1.1;  3.4;163.1
0.920;  1.9;  4.0;163.6
0.965;  2.4;  4.6;163.9
1.014;  2.9;  5.2;164.5
1.066;  3.2;  5.5;165.2
1.112;  3.6;  5.8;165.9
1.160;  4.2;  6.0;166.7
1.205;  4.5;  5.4;167.5
1.254;  4.8;  4.8;168.3
1.306;  4.8;  4.1;169.4
1.352;  5.0;  3.3;170.3
1.400;  5.5;  2.8;171.2
1.446;  5.4;  2.1;172.1
1.494;  5.4;  2.1;173.1
1.547;  5.6;  3.0;174.0
1.592;  4.8;  3.9;174.8
1.641;  4.1;  4.3;175.8
1.693;  4.0;  4.6;176.7
1.738;  3.1;  4.2;177.3
1.790;  2.5;  3.9;177.7
1.838;  3.2;  3.3;177.8
1.890;  3.9;  3.1;178.2
1.942;  5.3;  2.0;178.1
1.993;  5.3; -0.6;178.1
2.045;  4.4; -2.9;178.9
2.090;  3.7; -4.7;179.2
2.142;  2.1; -4.8;179.8
2.190; -0.1; -3.7;179.9
2.242;  0.3; -4.0;179.3
2.294;  0.0; -3.7;178.6
2.346; -0.1; -3.3;178.2
2.397; -0.1; -3.2;177.7
2.442; -0.1; -3.1;177.1
2.494; -0.1; -3.1;176.6
2.543; -0.1; -3.0;176.1
2.594;  0.1; -2.9;175.6
2.646;  0.1; -2.9;175.1
2.698;  0.1; -2.8;174.7
2.743;  0.1; -2.8;174.3
2.795;  0.1; -2.7;173.9
2.843;  0.1; -2.7;173.5
2.895;  0.1; -2.6;173.2
2.947;  0.1; -2.6;172.8
2.999;  0.1; -2.5;172.5
3.051;  0.1; -2.5;172.1
3.095;  0.1; -2.5;171.8
3.144;  0.1; -2.4;171.4
3.196;  0.2; -2.4;171.1
3.247;  0.3; -2.4;170.8
3.299;  0.3; -2.3;170.5
3.351;  0.3; -2.3;170.2
3.396;  0.3; -2.3;169.9
3.448;  0.3; -2.2;169.7
3.496;  0.3; -2.2;169.4
3.548;  0.3; -2.2;169.2
3.600;  0.3; -2.2;168.9
3.652;  0.3; -2.1;168.7
3.704;  0.2; -2.1;168.4
3.748;  0.2; -2.1;168.2
3.797;  0.2; -2.0;168.0
3.849;  0.2; -2.0;167.8
3.901;  0.2; -2.0;167.6
3.952;  0.2; -2.0;167.4
4.004;  0.2; -2.0;167.2
4.049;  0.2; -1.9;167.0
4.098;  0.2; -1.9;166.8
4.150;  0.1; -1.9;166.6
4.201;  0.2; -1.9;166.5
4.253;  0.2; -1.9;166.3
4.305;  0.2; -1.9;166.2
4.350;  0.2; -1.9;166.0
4.399;  0.2; -1.9;165.8
4.450;  0.2; -1.9;165.7
4.502;  0.4; -1.9;165.6
4.554;  0.6; -2.0;165.5
4.606;  0.7; -2.0;165.4
4.651;  0.8; -2.0;165.3
4.699;  0.8; -2.1;165.2
4.751;  1.0; -2.1;165.1
4.803;  1.0; -2.0;165.0
4.855;  0.9; -2.0;164.9
4.900;  0.8; -2.0;164.9
4.952;  0.8; -2.0;164.8
