timestamp;pitch;roll;yaw
0.042;  0.8; -0.7;143.6
0.091;  0.8; -0.7;143.5
0.137;  0.7; -0.7;143.6
0.185;  0.7; -0.7;143.6
0.231;  0.8; -0.7;143.5
0.279;  0.8; -0.7;143.5
0.331;  0.8; -0.7;143.5
0.383;  0.9; -0.8;143.5
0.428;  1.9; -1.0;143.4
0.477;  2.0; -1.0;143.2
0.530;  2.0; -1.0;143.3
0.575; -0.4;  0.3;143.3
0.623; -0.3;  0.3;143.4
0.669; -0.1;  0.1;143.4
0.717;  1.6; -1.0;143.5
0.770;  1.6; -1.0;143.3
0.815;  1.7; -1.0;143.3
0.864;  1.7; -1.0;143.4
0.916;  0.8; -0.4;143.5
0.961;  1.1; -0.6;143.5
1.010;  2.1; -1.1;143.7
1.062;  2.0; -1.2;143.9
1.108;  2.1; -1.1;143.9
1.156;  2.1; -1.1;144.0
1.202;  1.7; -0.9;144.0
1.250;  1.3; -0.6;144.0
1.303;  0.7; -0.3;143.9
1.348;  0.6; -0.3;143.8
1.397;  0.6; -0.3;143.8
1.442;  0.6; -0.3;143.8
1.491;  0.6; -0.3;143.8
1.543;  0.6; -0.3;143.8
1.588;  0.6; -0.3;143.8
1.637;  0.6; -0.4;143.8
1.689;  1.0; -0.6;144.0
1.735;  1.3; -0.9;143.9
1.784;  1.2; -0.8;143.7
1.829;  1.9; -1.3;143.7
1.878;  1.9; -1.4;143.7
1.930;  1.9; -1.4;143.8
1.975;  1.9; -1.4;144.0
2.024;  1.9; -1.2;143.9
2.076;  0.4; -0.5;143.6
2.122; -1.5; -0.8;143.6
2.170; -2.7; -1.1;143.8
2.216; -0.6; -0.8;143.9
2.264;  0.4; -1.5;143.4
2.317;  0.4; -1.5;143.5
2.362;  0.5; -1.4;143.8
2.411;  0.5; -1.4;143.9
2.463;  0.2; -1.2;143.9
2.508; -0.1; -1.0;144.0
2.557; -0.0; -1.0;144.1
2.602;  0.1; -1.1;144.1
2.651;  0.1; -1.0;144.2
2.703; -0.1; -0.9;144.3
2.748; -0.4; -0.7;144.4
2.797; -0.4; -0.7;144.5
2.849; -0.3; -0.7;144.5
2.894;  0.9; -1.4;144.6
2.943;  0.9; -1.3;144.7
2.995;  1.6; -1.3;144.8
3.041;  0.4; -0.4;144.9
3.089;  0.2; -0.5;145.3
3.142;  0.3; -0.3;146.1
3.187;  2.0; -1.3;146.5
3.236;  3.2; -1.3;146.2
3.281;  6.2; -0.8;146.3
3.329;  4.8; -1.3;143.5
3.382;  5.1; -1.7;142.6
3.427;  4.5;  1.0;142.8
3.476;  4.7;  0.8;143.3
3.528;  5.4;  0.3;143.8
3.573;  5.3;  0.1;143.9
3.622;  5.1;  0.1;144.0
3.674;  5.0;  0.0;143.8
3.719;  4.9; -0.1;143.6
3.768;  4.8; -0.1;143.4
3.820;  4.7; -0.2;143.3
3.865;  4.6; -0.2;143.0
3.914;  4.5; -0.3;142.8
3.966;  4.4; -0.3;142.6
4.012;  4.3; -0.4;142.4
4.060;  4.2; -0.4;142.3
4.113;  4.1; -0.5;142.1
4.158;  4.1; -0.5;142.0
4.207;  4.0; -0.5;142.0
4.252;  3.9; -0.6;141.9
4.301;  3.8; -0.6;141.9
4.353;  3.8; -0.7;141.8
4.398;  3.7; -0.7;141.8
4.447;  3.7; -0.7;141.7
4.499;  3.6; -0.8;141.7
4.545;  3.5; -0.8;141.7
4.593;  3.5; -0.8;141.6
4.645;  3.4; -0.8;141.6
4.691;  3.4; -0.9;141.6
4.739;  3.3; -0.9;141.7
4.791;  3.3; -0.9;141.8
4.837;  3.2; -0.9;141.9
