timestamp;pitch;roll;yaw
0.053;  1.3; -2.6;154.5
0.102;  1.3; -2.7;154.6
0.155;  1.3; -2.7;154.6
0.200;  1.0; -2.4;154.7
0.249;  0.9; -2.3;154.7
0.294;  1.1; -2.5;154.8
0.343;  1.1; -3.1;154.8
0.395;  1.2; -2.8;154.6
0.440;  1.0; -2.5;154.7
0.489;  0.9; -2.4;154.7
0.541;  1.1; -2.7;155.1
0.586;  0.2; -2.1;156.4
0.635; -1.8;  1.1;158.4
0.680; -7.8;  2.7;159.7
0.729;-22.5;  4.4;158.5
0.781;-43.7;  6.1;154.6
0.827;-62.6;  6.3;150.1
0.875;-78.8;  5.8;145.6
0.928;-78.5;  6.0;139.8
0.973;-70.6;  2.0;134.4
1.022;-56.6;  0.3;129.7
1.074;-35.5; -1.6;125.9
1.119;-15.4;  0.1;122.5
1.168; -1.8;  1.8;122.9
1.213;  8.8;  2.9;122.8
1.262; 21.5;  7.5;123.0
1.314; 27.5; 10.0;125.1
1.359; 27.6;  9.2;130.1
1.408; 22.5;  9.5;134.2
1.460; 16.3;  9.1;138.2
1.506; 10.3;  9.4;141.5
1.555;  4.9;  9.5;143.4
1.607;  1.4;  9.7;143.9
1.652;  0.3;  9.9;144.0
1.701;  0.2;  9.2;143.9
1.746;  0.4;  8.8;143.9
1.795;  0.0;  8.3;144.1
1.847; -0.4;  8.1;144.1
1.892; -0.3;  7.5;144.2
1.941; -0.4;  7.1;144.3
1.993; -0.4;  6.5;144.4
2.039; -0.2;  5.7;144.6
2.088; -0.4;  4.9;144.8
2.133; -0.7;  3.9;145.0
2.182; -0.7;  3.4;145.1
2.234; -0.8;  3.0;145.3
2.279; -0.8;  2.8;145.5
2.328; -0.3;  1.8;145.8
2.380;  0.3;  1.8;146.2
2.425;  0.3;  2.3;146.7
2.474;  0.1;  2.4;147.0
2.519; -0.3;  2.6;147.3
2.568; -0.2;  2.6;147.7
2.621; -0.1;  2.6;148.0
2.666; -0.1;  2.7;148.3
2.715; -0.1;  2.7;148.7
2.767; -0.2;  2.7;149.4
2.812; -0.2;  2.5;149.6
2.861; -0.2;  2.3;149.9
2.906; -0.1;  2.1;150.1
2.955; -0.1;  2.0;150.4
3.007; -0.1;  1.8;150.6
3.052; -0.1;  1.7;150.9
3.101; -0.1;  1.5;151.1
3.153; -0.1;  1.4;151.3
3.199; -0.1;  1.3;151.6
3.247; -0.0;  1.2;151.8
3.300; -0.0;  1.0;151.9
3.345; -0.0;  0.9;152.1
3.394; -0.0;  0.8;152.3
3.439; -0.0;  0.7;152.4
3.488;  0.0;  0.6;152.6
3.540;  0.0;  0.5;152.8
3.585;  0.0;  0.4;153.0
3.634;  0.0;  0.3;153.2
3.686;  0.0;  0.3;153.4
3.731;  0.0;  0.2;153.5
3.780;  0.1;  0.1;153.7
3.832;  0.1;  0.0;153.8
3.878;  0.1; -0.0;154.0
3.926;  0.1; -0.1;154.1
3.972;  0.1; -0.2;154.3
4.020;  0.1; -0.2;154.4
4.072;  0.1; -0.3;154.6
4.118;  0.1; -0.4;154.8
4.167;  0.1; -0.4;154.9
4.219;  0.1; -0.5;155.1
4.264;  0.1; -0.5;155.2
4.313;  0.1; -0.6;155.3
4.358;  0.1; -0.6;155.5
4.407;  0.1; -0.7;155.6
4.459;  0.1; -0.7;155.6
4.505;  0.1; -0.8;155.7
4.553;  0.1; -0.8;155.8
4.606;  0.1; -0.8;155.9
4.651;  0.2; -0.9;156.1
4.700;  0.2; -0.9;156.2
4.745;  0.2; -1.0;156.3
4.793;  0.2; -1.0;156.5
4.846;  0.2; -1.0;156.6
