timestamp;pitch;roll;yaw
0.042;  1.4; -2.3;162.3
0.087;  1.4; -2.3;162.6
0.139;  1.3; -2.3;162.6
0.187;  1.3; -2.3;162.9
0.239;  1.2; -2.1;162.9
0.291;  1.1; -2.0;162.9
0.343;  1.1; -2.1;163.0
0.388;  1.0; -2.0;163.0
0.439;  0.8; -1.9;163.0
0.488;  0.6; -1.8;163.5
0.540;  0.5; -1.8;163.5
0.591;  0.6; -1.9;163.5
0.643;  0.8; -2.0;163.5
0.688;  0.9; -2.1;163.5
0.740;  1.0; -2.1;163.4
0.788;  0.8; -2.1;163.4
0.840;  1.3; -2.4;163.5
0.892;  3.0; -2.2;163.5
0.944;  4.5; -2.7;163.7
0.989;  5.7; -3.4;163.5
1.041;  6.9; -3.1;163.4
1.089;  7.9; -3.6;163.3
1.141;  9.1; -3.5;163.6
1.193; 10.7; -3.3;163.8
1.245; 12.7; -3.6;164.4
1.297; 14.1; -3.8;165.4
1.341; 14.2; -4.1;166.5
1.393; 13.6; -4.7;167.5
1.442; 10.8; -5.6;168.3
1.493;  5.3; -6.6;169.0
1.545; -0.4; -8.1;168.5
1.597; -7.5; -8.6;167.9
1.649;-14.9; -8.6;168.0
1.694;-21.1; -8.8;166.6
1.746;-27.2; -9.4;166.0
1.794;-33.3; -9.7;165.5
1.846;-38.4; -9.8;164.6
1.898;-45.1;-10.3;164.2
1.950;-51.6;-11.0;162.7
1.994;-53.5;-11.4;160.7
2.046;-55.0;-12.1;159.7
2.095;-55.2;-12.9;159.0
2.147;-53.8;-13.2;158.0
2.198;-53.1;-13.5;157.8
2.250;-51.1;-13.3;157.9
2.295;-48.2;-12.7;158.2
2.347;-44.2;-12.6;158.8
2.395;-38.7;-12.4;160.3
2.447;-32.5;-11.9;162.7
2.499;-25.4;-10.5;165.2
2.551;-20.7; -9.6;166.2
2.603;-16.3; -8.9;167.7
2.648;-12.9; -8.8;168.0
2.699;-11.1; -9.1;168.3
2.748; -7.9; -9.6;168.8
2.800; -4.1; -9.4;169.4
2.851; -1.2; -8.8;169.9
2.903;  1.8; -9.7;171.0
2.955;  5.7;-10.8;171.6
3.000;  6.2;-11.3;172.8
3.048;  4.8;-11.9;173.9
3.100;  2.5;-10.5;174.5
3.153;  0.2;-10.1;175.2
3.198; -1.8; -9.0;175.5
3.247; -2.6; -8.6;175.8
3.292; -2.6; -8.3;175.5
3.341; -2.5; -8.0;175.4
3.393; -2.4; -7.7;175.1
3.438; -2.3; -7.4;174.9
3.487; -2.3; -7.1;174.7
3.539; -2.2; -7.0;174.5
3.585; -2.1; -6.8;174.3
3.633; -2.0; -6.5;174.1
3.686; -2.0; -6.3;173.9
3.731; -1.9; -6.1;173.8
3.780; -1.8; -5.9;173.6
3.832; -1.9; -5.8;173.4
3.877; -1.9; -5.6;173.2
3.926; -1.8; -5.5;173.0
3.971; -1.8; -5.3;172.8
4.020; -1.7; -5.1;172.6
4.072; -1.6; -5.0;172.4
4.117; -1.5; -4.9;172.2
4.166; -1.5; -4.8;172.0
4.218; -1.4; -4.6;171.8
4.264; -1.4; -4.4;171.6
4.313; -1.4; -4.3;171.4
4.358; -1.3; -4.2;171.1
4.407; -1.3; -4.1;170.9
4.459; -1.2; -4.0;170.7
4.504; -1.2; -3.9;170.5
4.553; -1.1; -3.8;170.4
4.605; -1.1; -3.7;170.2
4.650; -1.0; -3.6;170.0
4.699; -1.0; -3.6;169.9
4.751; -0.9; -3.5;169.7
4.796; -0.9; -3.4;169.6
4.845; -0.9; -3.3;169.4
4.890; -0.8; -3.3;169.3
4.939; -0.8; -3.2;169.1
