timestamp;pitch;roll;yaw
0.053;  1.8; -2.3;172.2
0.102;  1.8; -2.3;171.9
0.154;  1.8; -2.3;171.8
0.206;  1.7; -2.3;171.9
0.251;  1.7; -2.3;172.3
0.300;  1.7; -2.3;172.4
0.352;  1.7; -2.3;172.4
0.398;  1.7; -2.3;172.4
0.446;  1.7; -2.3;172.4
0.491;  1.7; -2.3;172.3
0.540;  1.7; -2.3;172.2
0.592;  1.7; -2.3;172.2
0.638;  1.7; -2.3;172.2
0.686;  1.7; -2.3;172.1
0.738;  1.7; -2.3;172.0
0.784;  1.7; -2.3;172.0
0.832;  1.7; -2.3;171.9
0.885;  1.7; -2.3;171.9
0.930;  1.7; -2.3;171.9
0.979;  1.7; -2.3;171.9
1.031;  1.7; -2.3;171.9
1.077;  1.7; -2.3;171.8
1.126;  1.7; -2.3;171.8
1.171;  1.7; -2.3;171.7
1.220;  1.7; -2.3;171.6
1.265;  1.7; -2.3;171.6
1.314;  1.7; -2.3;171.4
1.366;  1.7; -2.3;171.3
1.411;  1.7; -2.3;171.3
1.460;  1.7; -2.3;171.2
1.505;  1.7; -2.3;171.2
1.554;  1.7; -2.3;171.2
1.606;  1.7; -2.3;171.2
1.652;  1.7; -2.3;171.1
1.700;  1.7; -2.3;171.0
1.753;  1.7; -2.3;170.9
1.798;  1.7; -2.3;170.9
1.846;  1.7; -2.3;170.8
1.898;  1.7; -2.3;170.8
1.944;  1.7; -2.3;170.8
1.992;  1.6; -2.3;170.9
2.045;  1.6; -2.3;170.9
2.090;  1.6; -2.3;170.9
2.139;  1.6; -2.3;170.9
2.184;  1.6; -2.3;170.9
2.233;  1.6; -2.3;170.8
2.285;  1.6; -2.3;170.8
2.330;  1.6; -2.3;170.8
2.379;  1.6; -2.3;170.8
2.431;  1.6; -2.3;170.8
2.476;  1.6; -2.3;170.8
2.525;  1.6; -2.3;170.8
2.577;  1.6; -2.3;170.8
2.622;  1.6; -2.3;170.8
2.671;  1.6; -2.3;170.8
2.723;  1.6; -2.3;170.8
2.769;  1.6; -2.3;170.8
2.817;  1.6; -2.3;170.8
2.870;  1.6; -2.3;170.8
2.915;  1.6; -2.3;170.8
2.964;  1.6; -2.3;170.8
3.009;  1.6; -2.3;170.7
3.058;  1.6; -2.3;170.7
3.110;  1.6; -2.3;170.7
3.155;  1.6; -2.3;170.7
3.204;  1.6; -2.3;170.8
3.257;  1.6; -2.3;170.8
3.302;  1.6; -2.3;170.8
3.351;  1.6; -2.3;170.7
3.396;  1.6; -2.3;170.7
3.444;  1.6; -2.3;170.7
3.497;  1.6; -2.3;170.7
3.542;  1.6; -2.3;170.7
3.591;  1.6; -2.3;170.7
3.643;  1.6; -2.3;170.7
3.688;  1.6; -2.3;170.7
3.737;  1.6; -2.3;170.7
3.789;  1.6; -2.3;170.7
3.834;  1.6; -2.3;170.7
3.883;  1.6; -2.3;170.6
3.929;  1.6; -2.3;170.6
3.977;  1.6; -2.3;170.6
4.029;  1.6; -2.3;170.6
4.075;  1.6; -2.3;170.6
4.124;  1.6; -2.3;170.6
4.176;  1.6; -2.3;170.6
4.221;  1.6; -2.4;170.6
4.270;  1.6; -2.4;170.6
4.322;  1.6; -2.4;170.6
4.367;  1.6; -2.3;170.6
4.416;  1.6; -2.3;170.6
4.468;  1.6; -2.4;170.6
4.513;  1.6; -2.3;170.5
4.562;  1.6; -2.3;170.5
4.608;  1.6; -2.3;170.5
4.656;  1.6; -2.3;170.4
4.709;  1.6; -2.3;170.4
4.754;  1.6; -2.3;170.4
4.803;  1.6; -2.3;170.4
4.848;  1.6; -2.3;170.4
