timestamp;pitch;roll;yaw
0.042;  1.4; -2.4;160.4
0.087;  1.4; -2.4;160.3
0.135;  1.4; -2.4;160.3
0.187;  1.4; -2.4;160.3
0.239;  1.4; -2.4;160.2
0.284;  1.4; -2.4;160.1
0.336;  1.4; -2.4;160.1
0.384;  1.4; -2.4;160.1
0.436;  1.4; -2.4;160.0
0.488;  1.5; -2.4;160.0
0.540;  1.4; -2.4;160.0
0.592;  1.4; -2.4;160.0
0.637;  1.4; -2.4;159.9
0.685;  1.4; -2.4;159.9
0.737;  1.4; -2.4;160.0
0.789;  1.4; -2.4;159.9
0.841;  1.4; -2.4;159.9
0.886;  1.4; -2.4;160.0
0.937;  1.4; -2.4;159.9
0.986;  1.4; -2.4;160.0
1.038;  1.4; -2.4;160.0
1.090;  1.4; -2.4;160.0
1.135;  1.4; -2.4;160.0
1.187;  1.4; -2.4;160.1
1.235;  1.4; -2.4;160.1
1.287;  1.4; -2.4;160.0
1.339;  1.4; -2.4;160.1
1.391;  1.4; -2.4;160.1
1.443;  1.4; -2.4;160.1
1.487;  1.4; -2.4;160.1
1.536;  1.4; -2.4;160.2
1.588;  1.4; -2.4;160.2
1.640;  1.4; -2.4;160.2
1.691;  1.4; -2.4;160.2
1.736;  1.4; -2.4;160.3
1.788;  1.4; -2.4;160.3
1.837;  1.4; -2.4;160.3
1.888;  1.4; -2.4;160.3
1.940;  1.5; -2.4;160.3
1.992;  1.5; -2.4;160.3
2.037;  1.5; -2.4;160.3
2.086;  1.5; -2.4;160.4
2.137;  1.5; -2.4;160.4
2.189;  1.5; -2.4;160.5
2.241;  1.5; -2.4;160.6
2.293;  1.5; -2.4;160.8
2.338;  1.5; -2.4;160.7
2.386;  1.5; -2.4;160.7
2.438;  1.5; -2.4;160.7
2.490;  1.5; -2.4;160.7
2.542;  1.5; -2.4;160.6
2.594;  1.5; -2.4;160.6
2.639;  1.5; -2.4;160.6
2.687;  1.5; -2.4;160.6
2.739;  1.5; -2.4;160.6
2.791;  1.5; -2.4;160.5
2.843;  1.5; -2.4;160.5
2.888;  1.5; -2.4;160.5
2.940;  1.5; -2.4;160.6
2.988;  1.5; -2.4;160.6
3.040;  1.5; -2.4;160.6
3.092;  1.5; -2.4;160.6
3.144;  1.4; -2.4;160.6
3.189;  1.4; -2.4;160.6
3.237;  1.4; -2.4;160.6
3.289;  1.4; -2.4;160.6
3.341;  1.4; -2.4;160.5
3.386;  1.4; -2.4;160.5
3.435;  1.4; -2.4;160.5
3.487;  1.4; -2.4;160.4
3.532;  1.4; -2.4;160.4
3.581;  1.5; -2.4;160.4
3.633;  1.5; -2.4;160.3
3.679;  1.5; -2.4;160.3
3.727;  1.5; -2.4;160.3
3.780;  1.5; -2.4;160.3
3.825;  1.5; -2.4;160.3
3.874;  1.5; -2.4;160.3
3.919;  1.5; -2.4;160.3
3.968;  1.5; -2.4;160.2
4.020;  1.5; -2.4;160.2
4.066;  1.5; -2.4;160.2
4.114;  1.5; -2.4;160.2
4.167;  1.5; -2.4;160.1
4.212;  1.5; -2.4;160.1
4.261;  1.5; -2.4;160.1
4.306;  1.5; -2.4;160.1
4.355;  1.5; -2.4;160.1
4.407;  1.5; -2.4;160.1
4.452;  1.5; -2.4;160.1
4.501;  1.5; -2.4;160.1
4.546;  1.5; -2.4;160.0
4.595;  1.5; -2.4;160.0
4.647;  1.5; -2.4;160.1
4.692;  1.5; -2.4;160.1
4.741;  1.5; -2.4;160.1
4.794;  1.5; -2.4;160.1
4.839;  1.5; -2.4;160.1
4.887;  1.5; -2.4;160.1
4.940;  1.5; -2.4;160.1
