timestamp;pitch;roll;yaw
0.053;  0.4; -2.1;197.5
0.102;  0.3; -2.1;197.5
0.154;  0.3; -2.1;197.5
0.199;  0.3; -2.1;197.5
0.248;  0.3; -2.1;197.5
0.300;  0.3; -2.1;197.5
0.345;  0.2; -2.1;197.4
0.394;  0.2; -2.1;197.3
0.446;  0.2; -2.1;197.3
0.492;  0.2; -2.1;197.4
0.540;  0.2; -2.1;197.4
0.593;  0.2; -2.1;197.4
0.638;  0.2; -2.1;197.4
0.687;  0.2; -2.1;197.3
0.732;  0.2; -2.1;197.3
0.781;  0.2; -2.1;197.2
0.833;  0.1; -2.1;197.2
0.878;  0.1; -2.1;197.2
0.927;  0.1; -2.1;197.2
0.972;  0.1; -2.1;197.1
1.024;  0.1; -2.1;197.2
1.073;  0.1; -2.1;197.2
1.125;  0.1; -2.1;197.3
1.177;  0.1; -2.1;197.3
1.221;  0.1; -2.1;197.4
1.273;  0.1; -2.1;197.3
1.322;  0.1; -2.1;197.3
1.373;  0.2; -2.1;197.3
1.425;  0.2; -2.1;197.3
1.477;  0.2; -2.1;197.3
1.529;  0.2; -2.1;197.3
1.574;  0.2; -2.1;197.3
1.626;  0.2; -2.1;197.4
1.674;  0.1; -2.1;197.4
1.726;  0.1; -2.1;197.3
1.778;  0.1; -2.1;197.4
1.829;  0.1; -2.1;197.4
1.881;  0.1; -2.1;197.5
1.926;  0.1; -2.1;197.5
1.975;  0.1; -2.1;197.6
2.026;  0.1; -2.1;197.6
2.078;  0.1; -2.1;197.6
2.130;  0.1; -2.1;197.6
2.175;  0.1; -2.1;197.6
2.227;  0.1; -2.1;197.5
2.275;  0.1; -2.1;197.5
2.327;  0.2; -2.1;197.5
2.379;  0.2; -2.1;197.4
2.431;  0.2; -2.1;197.4
2.476;  0.2; -2.1;197.3
2.528;  0.2; -2.1;197.3
2.576;  0.2; -2.1;197.3
2.628;  0.3; -2.1;197.4
2.680;  0.3; -2.1;197.4
2.732;  0.3; -2.1;197.5
2.784;  0.3; -2.1;197.5
2.828;  0.3; -2.1;197.5
2.877;  0.2; -2.1;197.5
2.929;  0.4; -2.1;197.5
2.981;  0.4; -2.1;197.5
3.032;  0.3; -2.1;197.5
3.084;  0.3; -2.1;197.5
3.129;  0.3; -2.1;197.5
3.178;  0.3; -2.1;197.5
3.229;  0.3; -2.1;197.5
3.281;  0.3; -2.1;197.4
3.333;  0.3; -2.1;197.4
3.385;  0.2; -2.1;197.4
3.430;  0.2; -2.1;197.4
3.482;  0.2; -2.1;197.5
3.530;  0.2; -2.1;197.5
3.582;  0.2; -2.1;197.5
3.634;  0.2; -2.1;197.5
3.685;  0.2; -2.1;197.5
3.737;  0.2; -2.1;197.5
3.782;  0.2; -2.0;197.5
3.834;  0.1; -2.1;197.6
3.882;  0.1; -2.1;197.5
3.934;  0.1; -2.1;197.5
3.986;  0.1; -2.1;197.4
4.038;  0.1; -2.1;197.4
4.083;  0.1; -2.1;197.3
4.135;  0.1; -2.1;197.2
4.183;  0.1; -2.1;197.2
4.235;  0.1; -2.1;197.2
4.287;  0.1; -2.1;197.2
4.339;  0.1; -2.1;197.2
4.384;  0.1; -2.1;197.2
4.435;  0.0; -2.1;197.1
4.484;  0.0; -2.1;197.1
4.535;  0.0; -2.1;197.1
4.587;  0.0; -2.1;197.2
4.639;  0.0; -2.1;197.2
4.691;  0.0; -2.1;197.1
4.736;  0.0; -2.1;197.1
4.788;  0.0; -2.1;197.0
4.836;  0.0; -2.1;197.0
4.888;  0.0; -2.1;197.0
4.940;  0.0; -2.1;197.0
4.992;  0.0; -2.1;197.0
