timestamp;pitch;roll;yaw
0.053;  2.0; -1.1;166.4
0.102;  2.0; -1.1;166.5
0.154;  2.0; -1.1;166.5
0.200;  2.0; -1.1;166.5
0.249;  2.1; -1.1;166.5
0.294;  2.1; -1.1;166.5
0.343;  2.1; -1.1;166.5
0.395;  2.1; -1.1;166.5
0.440;  2.1; -1.1;166.5
0.489;  2.0; -1.1;166.5
0.541;  2.0; -1.1;166.4
0.586;  2.0; -1.1;166.4
0.635;  2.0; -1.1;166.5
0.687;  2.0; -1.1;166.5
0.732;  2.0; -1.1;166.5
0.781;  2.0; -1.1;166.6
0.833;  2.0; -1.1;166.7
0.878;  2.0; -1.1;166.7
0.927;  2.0; -1.1;166.7
0.979;  2.0; -1.1;166.7
1.024;  2.0; -1.1;166.8
1.073;  2.0; -1.1;166.8
1.119;  2.0; -1.1;166.8
1.168;  2.0; -1.1;166.8
1.220;  2.0; -1.1;166.8
1.265;  2.0; -1.2;166.7
1.314;  2.0; -1.1;166.7
1.366;  2.0; -1.1;166.7
1.411;  2.0; -1.1;166.6
1.460;  2.0; -1.2;166.6
1.512;  2.0; -1.1;166.6
1.557;  2.0; -1.1;166.6
1.606;  2.0; -1.2;166.6
1.658;  2.0; -1.1;166.6
1.703;  2.0; -1.1;166.5
1.752;  2.0; -1.1;166.4
1.804;  2.0; -1.1;166.3
1.849;  2.0; -1.2;166.2
1.898;  2.0; -1.2;166.2
1.951;  2.0; -1.2;166.2
1.996;  2.0; -1.2;166.2
2.045;  2.0; -1.2;166.2
2.090;  2.0; -1.2;166.2
2.139;  2.0; -1.1;166.1
2.191;  2.0; -1.1;166.1
2.236;  2.0; -1.2;166.2
2.285;  2.0; -1.2;166.2
2.337;  2.0; -1.1;166.2
2.382;  2.0; -1.1;166.3
2.431;  2.0; -1.1;166.3
2.483;  2.0; -1.1;166.4
2.528;  2.0; -1.1;166.5
2.577;  2.0; -1.1;166.5
2.629;  2.0; -1.1;166.5
2.674;  2.0; -1.1;166.6
2.723;  2.0; -1.1;166.6
2.768;  2.0; -1.2;166.7
2.817;  2.0; -1.2;166.8
2.869;  2.0; -1.2;166.9
2.915;  2.0; -1.2;166.9
2.963;  2.0; -1.2;167.0
3.015;  2.0; -1.2;167.0
3.061;  2.0; -1.2;167.0
3.109;  2.0; -1.2;167.0
3.162;  2.0; -1.1;167.0
3.207;  2.0; -1.2;166.9
3.256;  2.0; -1.2;166.9
3.308;  2.0; -1.1;166.8
3.353;  2.0; -1.1;166.8
3.402;  2.0; -1.1;166.8
3.454;  2.0; -1.1;166.8
3.499;  2.0; -1.1;166.9
3.548;  2.0; -1.1;166.8
3.600;  2.0; -1.1;166.8
3.646;  2.0; -1.1;166.8
3.694;  2.0; -1.1;166.8
3.739;  2.0; -1.1;166.8
3.788;  2.0; -1.1;166.7
3.840;  2.0; -1.1;166.6
3.886;  2.0; -1.1;166.6
3.934;  2.0; -1.1;166.5
3.987;  2.0; -1.1;166.5
4.032;  2.0; -1.1;166.4
4.081;  2.0; -1.1;166.3
4.126;  2.0; -1.2;166.1
4.175;  2.0; -1.2;166.0
4.227;  2.0; -1.2;165.9
4.272;  2.0; -1.2;165.8
4.321;  2.0; -1.2;165.7
4.373;  2.0; -1.2;165.7
4.419;  2.0; -1.2;165.6
4.467;  2.0; -1.2;165.6
4.520;  2.0; -1.2;165.6
4.565;  2.0; -1.2;165.6
4.614;  2.0; -1.1;165.5
4.666;  2.0; -1.2;165.5
4.711;  2.0; -1.2;165.4
4.760;  2.0; -1.2;165.4
4.805;  2.0; -1.2;165.4
4.854;  2.0; -1.2;165.4
